type,personality_type,user_id,social_interaction,communication,attention,group_comfort,energy_source,self_expression
ISTJ,Ambivert,user 55,5.0,5.0,5.0,2.9,4.9,5.0
INFP,Ambivert,user 56,5.0,5.0,3.8,4.0,5.0,5.0
ENFP,Ambivert,user 57,5.0,5.0,3.4,4.6,5.0,5.0
ISTJ,Ambivert,user 58,5.0,5.0,5.0,4.0,5.0,5.0
ISTJ,Ambivert,user 59,4.6,5.0,3.5,3.3,5.0,5.0
ENTP,Ambivert,user 60,4.4,5.0,3.1,3.4,5.0,5.0
INTP,Ambivert,user 61,5.0,5.0,5.0,3.5,5.0,5.0
INTJ,Ambivert,user 62,5.0,5.0,5.0,3.5,5.0,5.0
ENFJ,Ambivert,user 63,4.3,5.0,2.4,4.6,5.0,5.0
ISTJ,Extrovert,user 64,5.0,5.0,5.0,4.3,5.0,5.0
ISTJ,Ambivert,user 65,5.0,5.0,5.0,3.4,4.4,5.0
INFJ,Ambivert,user 66,4.8,5.0,3.6,3.7,5.0,5.0
INTJ,Extrovert,user 67,5.0,4.9,5.0,4.5,2.7,4.8
ISTJ,Ambivert,user 68,5.0,5.0,5.0,3.4,5.0,5.0
ISTJ,Extrovert,user 69,5.0,5.0,5.0,4.9,5.0,5.0
ISTJ,Ambivert,user 70,5.0,5.0,5.0,3.0,5.0,5.0
INFJ,Ambivert,user 71,5.0,5.0,5.0,3.7,4.9,5.0
ENFP,Ambivert,user 72,5.0,5.0,5.0,3.1,5.0,5.0
ENFP,Ambivert,user 73,4.2,5.0,3.8,4.2,5.0,5.0
ISTP,Ambivert,user 74,5.0,5.0,3.8,4.1,5.0,5.0
ENFP,Ambivert,user 75,5.0,4.7,4.1,3.8,5.0,5.0
ISTJ,Ambivert,user 76,5.0,5.0,5.0,2.8,5.0,5.0
ENFJ,Ambivert,user 77,5.0,5.0,5.0,3.8,5.0,5.0
INTP,Ambivert,user 78,5.0,5.0,5.0,2.9,4.0,5.0
INTP,Ambivert,user 79,5.0,5.0,5.0,2.7,4.8,5.0
ISTJ,Ambivert,user 80,5.0,4.7,5.0,4.0,5.0,5.0
ISTJ,Ambivert,user 81,5.0,4.9,5.0,4.0,5.0,5.0
ENFP,Ambivert,user 82,5.0,5.0,5.0,3.9,5.0,5.0
ISTP,Ambivert,user 83,5.0,5.0,5.0,3.2,5.0,5.0
ISTP,Ambivert,user 84,3.2,5.0,2.0,3.4,4.9,5.0
ISTJ,Ambivert,user 85,5.0,5.0,5.0,3.1,4.9,5.0
ENTP,Extrovert,user 86,5.0,4.1,5.0,5.0,4.6,5.0
INTP,Ambivert,user 87,5.0,5.0,5.0,2.7,3.8,5.0
INFJ,Ambivert,user 88,5.0,5.0,5.0,3.2,5.0,5.0
ENFP,Ambivert,user 89,5.0,5.0,5.0,3.5,5.0,5.0
ISTJ,Ambivert,user 90,4.1,5.0,2.5,4.3,5.0,5.0
INTP,Ambivert,user 91,4.8,5.0,3.8,3.7,4.6,5.0
INFJ,Ambivert,user 92,3.8,5.0,3.2,2.5,5.0,5.0
ISTP,Ambivert,user 93,5.0,5.0,4.2,3.2,5.0,5.0
INTP,Ambivert,user 94,5.0,5.0,5.0,2.3,1.6,3.5
INTJ,Extrovert,user 95,5.0,4.9,5.0,4.3,5.0,5.0
ENTP,Extrovert,user 96,5.0,5.0,5.0,3.8,2.7,5.0
INFJ,Ambivert,user 97,5.0,5.0,4.5,3.3,3.5,5.0
INTJ,Ambivert,user 98,5.0,5.0,5.0,3.2,5.0,5.0
ISTJ,Ambivert,user 99,5.0,5.0,4.7,2.9,4.9,5.0
ENTJ,Ambivert,user 100,5.0,5.0,4.4,4.0,5.0,5.0
ISFJ,Ambivert,user 101,4.2,4.6,3.3,3.2,5.0,5.0
INTJ,Extrovert,user 102,5.0,5.0,5.0,4.0,4.1,5.0
ENFP,Extrovert,user 103,5.0,5.0,5.0,4.1,3.7,5.0
INTP,Ambivert,user 104,4.8,4.9,3.6,4.0,5.0,5.0
INTJ,Ambivert,user 105,5.0,5.0,4.2,3.0,4.5,5.0
